id,domain,capability,requirement,priority,phase,status,mapping,sources
CAP-022,Live Play,Open challenge browser,List and chart public seeks with filters and instant acceptance.,P2,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-023,Live Play,Real-time game workspace,"Render board, clocks, move list, player cards, status and game actions in sync.",P0,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-024,Live Play,Move entry methods,"Support click-click, drag, keyboard notation where accessible, and promotion choice.",P0,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-025,Live Play,Premoves and confirmations,Offer premoves and optional move confirmation by game type and device.,P1,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-026,Live Play,"Draw, resign, abort and timeout","Model all terminal states, permissions and rating consequences.",P0,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S31
CAP-027,Live Play,Reconnect and clock authority,Resume transient disconnects while preserving server-authoritative clocks.,P0,Scale,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-028,Live Play,Focus mode,"Collapse distractions to board, clocks and essential actions.",P1,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-029,Live Play,Post-game hub,"Offer rematch, review, analysis, share, report and next-game actions.",P0,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S05,S21,S31"
CAP-030,Daily & Correspondence,Days-per-move games,Support long-running games with per-move deadlines and multiple concurrent boards.,P1,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S17
CAP-031,Daily & Correspondence,Daily challenge filters,"Filter by move speed, minimum games, timeout history and membership.",P2,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S17
CAP-032,Daily & Correspondence,Vacation state,Pause eligible clocks according to policy and expose remaining allowance.,P2,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S17
CAP-033,Daily & Correspondence,Conditional move trees,Let players pre-author multiple response lines while it is the opponent turn.,P2,Play,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S17
CAP-034,Daily & Correspondence,Allowed study workspace,Permit non-engine self-analysis and opening reference only where policy allows.,P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S30,S31"
CAP-035,Daily & Correspondence,Daily game notifications,"Send configurable turn, low-time, invitation and result reminders.",P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-036,Bots & Guided Coach,Bot catalog,"Browse opponents by level, style, theme and completion state.",P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S03
CAP-037,Bots & Guided Coach,Bot profile,"Show estimated strength, behavior description, optional assistance and rewards.",P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S03
CAP-038,Bots & Guided Coach,Adaptive opponent,Adjust challenge within bounded rules without misrepresenting calibrated human rating.,P2,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S03
CAP-039,Bots & Guided Coach,Fixed engine opponent,Expose deterministic strength settings and search limits for practice.,P0,Coach,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S03
CAP-040,Bots & Guided Coach,Coach setup,"Choose strength, side, coach persona and assistance preferences before play.",P0,Coach,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S04
CAP-041,Bots & Guided Coach,Move-by-move feedback,Explain move quality and strategic consequence after each move in guided games.,P0,Coach,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S04
CAP-042,Bots & Guided Coach,Hints and progressive reveal,"Offer concept hint first, candidate region second, best move last.",P0,Coach,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S04
CAP-043,Bots & Guided Coach,Undo and retry,Allow learner-safe reversal without affecting competitive ratings.,P0,Coach,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S04
CAP-044,Bots & Guided Coach,Threat and suggestion overlays,Render original visual arrows and highlights tied to verified board facts.,P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S04
CAP-045,Bots & Guided Coach,Resume guided games,Persist coach and bot sessions across navigation and devices.,P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S04,S35"
CAP-046,Bots & Guided Coach,Custom-position practice,"Start bot or coach play from imported FEN, game node or constructed setup.",P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S13
CAP-047,Game Review & Analysis,Review generation,"Create a post-game analysis job with stable version, engine limits and progress state.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S05,S07"
CAP-048,Game Review & Analysis,Review highlights,"Summarize accuracy, opening, result, advantage graph and decisive moments.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S05
CAP-049,Game Review & Analysis,Move classification,"Classify moves consistently, explain uncertainty and avoid proprietary glyph copying.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S05,S02"
CAP-050,Game Review & Analysis,Key-moment navigation,"Jump among critical moments while keeping board, graph and explanation synchronized.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S05
CAP-051,Game Review & Analysis,Retry from mistake,Let the learner replay a critical position and compare the new result.,P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S05
CAP-052,Game Review & Analysis,Coach narration,"Provide concise written feedback, optional audio and selectable detail level.",P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S05
CAP-053,Game Review & Analysis,Self-analysis board,"Explore legal continuations manually with engine toggle, lines and evaluation.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S06
CAP-054,Game Review & Analysis,Multi-line engine analysis,"Show bounded principal variations, depth, engine identity and score perspective.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S06,S07"
CAP-055,Game Review & Analysis,Charts,"Plot score, time, best-move difference and learning themes against move index.",P1,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S06
CAP-056,Game Review & Analysis,Annotations,"Attach comments, arrows, square highlights, symbols and variation lines to nodes.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S06,S21"
CAP-057,Game Review & Analysis,Cloud analysis tier,"Queue deeper server-side analysis with quotas, cancellation and cost controls.",P1,Scale,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S07
CAP-058,Game Review & Analysis,Import PGN and FEN,"Validate untrusted input, preserve the current study on failure and record provenance.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S21
CAP-059,Game Review & Analysis,Export annotated study,"Export PGN or native study with comments, branches, timestamps and engine metadata.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S21
CAP-060,Game Review & Analysis,Continue from position,Launch legal practice or bot play from any completed-game or study node.,P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S06
CAP-061,Branch-Native Conversational Tutor,History-bearing node model,"Store board state plus rule-relevant history, not FEN alone.",P0,Differentiator,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-062,Branch-Native Conversational Tutor,Nested branch tree,Create alternatives inside alternatives without altering the actual game line.,P0,Differentiator,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-063,Branch-Native Conversational Tutor,Stable return anchors,Return from exploration to the exact original node and preserve every sibling branch.,P0,Differentiator,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-064,Branch-Native Conversational Tutor,Node-attached questions,"Bind each learner question and answer to a position, branch and evidence version.",P0,Differentiator,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-065,Branch-Native Conversational Tutor,"Ask why, what-if and compare","Support causal questions, alternative replies and side-by-side branch comparison.",P0,Differentiator,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-066,Branch-Native Conversational Tutor,Evidence panel,"Separate legal facts, engine estimates, demonstrated lines and uncertain explanations.",P0,Differentiator,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-067,Branch-Native Conversational Tutor,Board-text agreement,"Guarantee that arrows, highlighted pieces, material counts and prose reference one node.",P0,Differentiator,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-068,Branch-Native Conversational Tutor,Misunderstanding model,"Capture the learner prediction, expose the failing assumption and schedule a related retry.",P1,Differentiator,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-069,Branch-Native Conversational Tutor,Teach-back check,Ask the learner to explain the idea before revealing a polished summary.,P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-070,Branch-Native Conversational Tutor,Spaced branch retry,Revisit prior misunderstandings using transformed but related positions.,P2,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-071,Branch-Native Conversational Tutor,Share and fork study,Share a view-only or editable branch workspace with provenance and permissions.,P1,Collaboration,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S08,S37"
CAP-072,Branch-Native Conversational Tutor,Creator workspace,"Let coaches package branches, questions and retries into reusable studies.",P2,Collaboration,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-073,Opening Explorer & Collections,Master opening database,"Show move frequency, outcomes, opening names and notable games by position.",P1,Analysis,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S09
CAP-074,Opening Explorer & Collections,Personal opening explorer,"Filter the user game corpus by color, time class, date and continuation.",P1,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S09,S23"
CAP-075,Opening Explorer & Collections,Opponent research boundary,Allow completed public-game study while preventing live assistance.,P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S30,S31"
CAP-076,Opening Explorer & Collections,Collection library,"Organize games and studies into private, public or shared collections.",P1,Collaboration,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S08
CAP-077,Opening Explorer & Collections,Collection roles,"Support owner, editor and viewer permissions with audit history.",P1,Collaboration,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S08
CAP-078,Opening Explorer & Collections,Community collections,"Discover, preview, bookmark and fork public study collections.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S08
CAP-079,Opening Explorer & Collections,Search and bulk actions,"Search games and studies, then move, tag, export or delete selected items.",P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S08,S20"
CAP-080,Puzzles & Tactics,Rated puzzle queue,Serve rating-appropriate legal puzzles and update puzzle rating after full solution.,P0,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-081,Puzzles & Tactics,Progressive puzzle feedback,"Show correctness, opponent replies, explanation and retry without leaking early.",P0,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-082,Puzzles & Tactics,Puzzle Rush,Run timed survival and fixed-duration modes with mistake limits and summaries.,P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-083,Puzzles & Tactics,Puzzle Battle,"Match similar puzzle-battle ratings and synchronize score, timer and error state.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S11
CAP-084,Puzzles & Tactics,Daily puzzle,"Publish one daily puzzle with local-day streak, discussion and share state.",P1,Growth,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-085,Puzzles & Tactics,Custom puzzle filters,"Choose themes, rating band, failed-only and unrated learning mode.",P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-086,Puzzles & Tactics,Puzzle history,"Review attempts, themes, accuracy, time and failed positions.",P1,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-087,Puzzles & Tactics,Hearts or recovery model,Allow limited errors in beginner-friendly modes without corrupting rated results.,P2,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-088,Puzzles & Tactics,Puzzle taxonomy versioning,Version themes so classification changes do not rewrite historical analytics silently.,P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-089,"Lessons, Practice & Curriculum",Structured learning path,"Sequence concepts by prerequisites, skill band and mastery checks.",P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S12
CAP-090,"Lessons, Practice & Curriculum",Lesson library,"Browse and filter courses by level, topic, format and instructor.",P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S12
CAP-091,"Lessons, Practice & Curriculum",Interactive lesson player,"Combine explanation, board challenge, feedback, progress and resume.",P0,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S12
CAP-092,"Lessons, Practice & Curriculum",Opening practice,"Select an opening and color, then practice required lines against a compliant bot.",P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S13
CAP-093,"Lessons, Practice & Curriculum",Master-game practice,Enter key historical positions and compare learner choices with source games.,P2,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S13
CAP-094,"Lessons, Practice & Curriculum",Thematic drills,"Practice pawn structures, tactical motifs and strategic patterns repeatedly.",P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S13
CAP-095,"Lessons, Practice & Curriculum",Custom-position training,Paste FEN or choose a saved node and define the training objective.,P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S13
CAP-096,"Lessons, Practice & Curriculum",Endgame curriculum,"Offer category, subtheme, challenge, practice and learn modes.",P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S14
CAP-097,"Lessons, Practice & Curriculum",Board vision trainer,Train coordinates and move visualization with timed scoring and orientation options.,P2,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S14
CAP-098,"Lessons, Practice & Curriculum",Recommendation engine,"Recommend the next lesson or drill from demonstrated mistakes, not generic level alone.",P1,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S05,S24"
CAP-099,"Lessons, Practice & Curriculum",Mastery and retry policy,Require successful transfer or teach-back before marking a concept mastered.,P1,Learning,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-100,"Profile, Stats & Progress",Public profile,"Show identity, optional details, ratings, awards, clubs and recent public activity.",P1,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-101,"Profile, Stats & Progress",Rating dashboards,Track separate ratings and histories by time control and game type.,P0,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S20
CAP-102,"Profile, Stats & Progress",Opening stats,"Show frequency, results and continuation trees with filters and mini-board.",P1,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S23
CAP-103,"Profile, Stats & Progress",Advanced chess stats,"Measure opening, tactics, strategy and endgame strengths with explainable methodology.",P2,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S25
CAP-104,"Profile, Stats & Progress",Insights workspace,"Analyze patterns by time class, date range, result, accuracy and activity time.",P2,Insights,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S24
CAP-105,"Profile, Stats & Progress",Achievement system,Award verifiable milestones and show locked criteria without pay-to-win ratings.,P2,Growth,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S10
CAP-106,"Profile, Stats & Progress",Game archive,"Filter by game type, date, opponent, result and opening with stable pagination.",P0,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S20
CAP-107,"Profile, Stats & Progress",Bot and coach privacy,Keep guided-game history private by default and allow deletion.,P0,Privacy,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S03,S04"
CAP-108,"Watch, Events & Content",Live chess channel,Provide an integrated current broadcast with schedule and chat policy.,P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S26
CAP-109,"Watch, Events & Content",Event directory,"List ongoing and upcoming tournaments, leagues and broadcasts.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S26
CAP-110,"Watch, Events & Content",Event broadcast board,"Synchronize board, clocks, standings, commentary, engine and video.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S26
CAP-111,"Watch, Events & Content",Streamer directory,List currently live creators and hand off to approved external platforms.,P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S26
CAP-112,"Watch, Events & Content",Playing-now spectating,Surface notable live games with delay and fair-play controls.,P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S26,S31"
CAP-113,"Watch, Events & Content",Editorial hub,"Publish news, recaps, instructional articles and author pages with moderation.",P2,Content,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S26
CAP-114,"Watch, Events & Content",Embeddable public views,"Generate safe embed codes for games, studies and events.",P2,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S21,S26"
CAP-115,Community & Social,Friends graph,"Send, accept, decline, cancel and limit friend requests.",P1,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S28
CAP-116,Community & Social,Follow graph,Follow creators or players independently of mutual friendship.,P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S28
CAP-117,Community & Social,Persistent chat,Keep one-to-one and group chat available across navigation with unread state.,P1,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S28
CAP-118,Community & Social,In-game chat controls,"Allow everyone, request-only, friends-only or disabled chat policies.",P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S32
CAP-119,Community & Social,Club discovery,"Search and browse clubs by interest, location, activity and language.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S27
CAP-120,Community & Social,Club membership workflow,"Support open, request-to-join and invitation-only membership.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S27
CAP-121,Community & Social,Club spaces,"Provide notes, forums, chat, matches, vote chess and events.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S27
CAP-122,Community & Social,Club roles and audit,"Model owner, super-admin, admin, coordinator and member permissions.",P2,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S27
CAP-123,Community & Social,Forums and comments,"Thread discussions with edits, reports, moderation and notification controls.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S27,S31"
CAP-124,Community & Social,User blogs,Let members publish moderated long-form posts and follow authors.,P2,Content,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S28
CAP-125,Community & Social,Notifications center,"Aggregate social, game, learning, commerce and system notifications.",P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-126,Tournaments & Variants,Arena tournaments,"Support continuous pairing, streak scoring, countdown and standings.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S15
CAP-127,Tournaments & Variants,Swiss tournaments,"Support scheduled rounds, pairings, tie-breaks and result correction workflow.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S15
CAP-128,Tournaments & Variants,Daily tournaments,"Support group stages, simultaneous round-robin games and advancement.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S16
CAP-129,Tournaments & Variants,Tournament creation,"Configure format, time control, visibility, eligibility and participant caps.",P2,Community,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S15,S16"
CAP-130,Tournaments & Variants,Tournament moderation,"Provide director controls, chat policy, removal, cancellation and audit logs.",P2,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S15,S31"
CAP-131,Tournaments & Variants,Variant lobby,"Browse variants with play, lobby, arenas, watch, leaders and archive tabs.",P3,Expansion,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S18
CAP-132,Tournaments & Variants,Custom variant editor,Compose supported rule modules and validate starting positions.,P3,Expansion,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S18
CAP-133,Tournaments & Variants,Variant-specific ratings,Keep ratings and archives separate per variant and time class.,P3,Expansion,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S18
CAP-134,"Settings, Accessibility & Devices",Board and piece themes,"Offer original or licensed themes, backgrounds, coordinates and animation choices.",P1,Polish,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S29,S02"
CAP-135,"Settings, Accessibility & Devices",Move and sound preferences,"Configure move method, legal markers, premoves, confirmations and sound themes.",P1,Polish,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-136,"Settings, Accessibility & Devices",Gameplay settings,"Centralize live, daily, bot, coach and puzzle behavior preferences.",P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-137,"Settings, Accessibility & Devices",Coach settings,"Choose persona, voice, appearance locations, autosave and feedback intensity.",P1,Coach,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S04
CAP-138,"Settings, Accessibility & Devices",Notification routing,"Choose in-app, push and email delivery by notification category.",P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-139,"Settings, Accessibility & Devices",Privacy controls,"Control profile fields, friends visibility, challenges and contact permissions.",P0,Privacy,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S29,S32"
CAP-140,"Settings, Accessibility & Devices",Localization,"Support interface language, content language, locale, notation and timezone.",P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-141,"Settings, Accessibility & Devices",Keyboard operation,"Make all game, review and learning workflows operable without dragging.",P0,Accessibility,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-142,"Settings, Accessibility & Devices",Screen-reader semantics,"Expose board state, move list, clocks, alerts and annotations semantically.",P0,Accessibility,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-143,"Settings, Accessibility & Devices",Reduced motion and contrast,Respect OS preferences and provide accessible contrast modes.,P0,Accessibility,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-144,"Settings, Accessibility & Devices",Responsive web,Preserve complete core workflows from 320 px mobile to wide desktop.,P0,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S35,S36"
CAP-145,"Settings, Accessibility & Devices",Native-app parity matrix,Document every web/mobile parity gap and degrade explicitly.,P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S35,S36"
