map_id,domain,reference_capability,public_evidence_ids,public_evidence_titles,chesslab_requirement,functional_requirement_id,acceptance,representative_screen_ids,priority,phase,prototype_status,clean_room_boundary
MAP-018,Live Play,Rated or casual toggle,S19,How does matchmaking work in Live Chess?,Allow rated and unrated challenges with clear consequences.,FR-018,"Given an eligible user and valid starting state, when the ""Rated or casual toggle"" workflow is exercised, ChessLab shall allow rated and unrated challenges with clear consequences; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-019,Live Play,Rating range controls,S19,How does matchmaking work in Live Chess?,Set relative opponent rating bounds and warn about queue impact.,FR-019,"Given an eligible user and valid starting state, when the ""Rating range controls"" workflow is exercised, ChessLab shall set relative opponent rating bounds and warn about queue impact; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P1,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-020,Live Play,Fast matchmaking,"S19,S32","How does matchmaking work in Live Chess?,What is safe mode on Chess.com?","Search narrow first, expand safely, and respect blocks and abuse controls.",FR-020,"Given an eligible user and valid starting state, when the ""Fast matchmaking"" workflow is exercised, ChessLab shall search narrow first, expand safely, and respect blocks and abuse controls; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-021,Live Play,Direct challenge,S28,How do I open a chat window with my friend?,Challenge a friend or named user with shareable acceptance state.,FR-021,"Given an eligible user and valid starting state, when the ""Direct challenge"" workflow is exercised, ChessLab shall challenge a friend or named user with shareable acceptance state; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P1,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-022,Live Play,Open challenge browser,S19,How does matchmaking work in Live Chess?,List and chart public seeks with filters and instant acceptance.,FR-022,"Given an eligible user and valid starting state, when the ""Open challenge browser"" workflow is exercised, ChessLab shall list and chart public seeks with filters and instant acceptance; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P2,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-023,Live Play,Real-time game workspace,S19,How does matchmaking work in Live Chess?,"Render board, clocks, move list, player cards, status and game actions in sync.",FR-023,"Given an eligible user and valid starting state, when the ""Real-time game workspace"" workflow is exercised, ChessLab shall render board, clocks, move list, player cards, status and game actions in sync; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-024,Live Play,Move entry methods,S29,How do I manage my settings?,"Support click-click, drag, keyboard notation where accessible, and promotion choice.",FR-024,"Given an eligible user and valid starting state, when the ""Move entry methods"" workflow is exercised, ChessLab shall support click-click, drag, keyboard notation where accessible, and promotion choice; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-025,Live Play,Premoves and confirmations,S29,How do I manage my settings?,Offer premoves and optional move confirmation by game type and device.,FR-025,"Given an eligible user and valid starting state, when the ""Premoves and confirmations"" workflow is exercised, ChessLab shall offer premoves and optional move confirmation by game type and device; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P1,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-026,Live Play,"Draw, resign, abort and timeout",S31,What do I need to know about Fair Play?,"Model all terminal states, permissions and rating consequences.",FR-026,"Given an eligible user and valid starting state, when the ""Draw, resign, abort and timeout"" workflow is exercised, ChessLab shall model all terminal states, permissions and rating consequences; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-027,Live Play,Reconnect and clock authority,S19,How does matchmaking work in Live Chess?,Resume transient disconnects while preserving server-authoritative clocks.,FR-027,"Given an eligible user and valid starting state, when the ""Reconnect and clock authority"" workflow is exercised, ChessLab shall resume transient disconnects while preserving server-authoritative clocks; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Scale,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-028,Live Play,Focus mode,S29,How do I manage my settings?,"Collapse distractions to board, clocks and essential actions.",FR-028,"Given an eligible user and valid starting state, when the ""Focus mode"" workflow is exercised, ChessLab shall collapse distractions to board, clocks and essential actions; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P1,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-029,Live Play,Post-game hub,"S05,S21,S31","How does Game Review work?,How do I get a PGN of my game?,What do I need to know about Fair Play?","Offer rematch, review, analysis, share, report and next-game actions.",FR-029,"Given an eligible user and valid starting state, when the ""Post-game hub"" workflow is exercised, ChessLab shall offer rematch, review, analysis, share, report and next-game actions; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-020,SCR-021,SCR-022,SCR-023",P0,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-030,Daily & Correspondence,Days-per-move games,S17,What is Daily Chess?,Support long-running games with per-move deadlines and multiple concurrent boards.,FR-030,"Given an eligible user and valid starting state, when the ""Days-per-move games"" workflow is exercised, ChessLab shall support long-running games with per-move deadlines and multiple concurrent boards; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-034,SCR-035,SCR-036,SCR-037",P1,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-031,Daily & Correspondence,Daily challenge filters,S17,What is Daily Chess?,"Filter by move speed, minimum games, timeout history and membership.",FR-031,"Given an eligible user and valid starting state, when the ""Daily challenge filters"" workflow is exercised, ChessLab shall filter by move speed, minimum games, timeout history and membership; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-034,SCR-035,SCR-036,SCR-037",P2,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-032,Daily & Correspondence,Vacation state,S17,What is Daily Chess?,Pause eligible clocks according to policy and expose remaining allowance.,FR-032,"Given an eligible user and valid starting state, when the ""Vacation state"" workflow is exercised, ChessLab shall pause eligible clocks according to policy and expose remaining allowance; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-034,SCR-035,SCR-036,SCR-037",P2,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-033,Daily & Correspondence,Conditional move trees,S17,What is Daily Chess?,Let players pre-author multiple response lines while it is the opponent turn.,FR-033,"Given an eligible user and valid starting state, when the ""Conditional move trees"" workflow is exercised, ChessLab shall let players pre-author multiple response lines while it is the opponent turn; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-034,SCR-035,SCR-036,SCR-037",P2,Play,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-034,Daily & Correspondence,Allowed study workspace,"S30,S31","What counts as cheating on Chess.com?,What do I need to know about Fair Play?",Permit non-engine self-analysis and opening reference only where policy allows.,FR-034,"Given an eligible user and valid starting state, when the ""Allowed study workspace"" workflow is exercised, ChessLab shall permit non-engine self-analysis and opening reference only where policy allows; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-034,SCR-035,SCR-036,SCR-037",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-035,Daily & Correspondence,Daily game notifications,S29,How do I manage my settings?,"Send configurable turn, low-time, invitation and result reminders.",FR-035,"Given an eligible user and valid starting state, when the ""Daily game notifications"" workflow is exercised, ChessLab shall send configurable turn, low-time, invitation and result reminders; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","SCR-034,SCR-035,SCR-036,SCR-037",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-036,Bots & Guided Coach,Bot catalog,S03,How can I play against the Chess.com bots?,"Browse opponents by level, style, theme and completion state.",FR-036,"Given an eligible user and valid starting state, when the ""Bot catalog"" workflow is exercised, ChessLab shall browse opponents by level, style, theme and completion state; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-037,Bots & Guided Coach,Bot profile,S03,How can I play against the Chess.com bots?,"Show estimated strength, behavior description, optional assistance and rewards.",FR-037,"Given an eligible user and valid starting state, when the ""Bot profile"" workflow is exercised, ChessLab shall show estimated strength, behavior description, optional assistance and rewards; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-038,Bots & Guided Coach,Adaptive opponent,S03,How can I play against the Chess.com bots?,Adjust challenge within bounded rules without misrepresenting calibrated human rating.,FR-038,"Given an eligible user and valid starting state, when the ""Adaptive opponent"" workflow is exercised, ChessLab shall adjust challenge within bounded rules without misrepresenting calibrated human rating; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P2,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-039,Bots & Guided Coach,Fixed engine opponent,S03,How can I play against the Chess.com bots?,Expose deterministic strength settings and search limits for practice.,FR-039,"Given an eligible user and valid starting state, when the ""Fixed engine opponent"" workflow is exercised, ChessLab shall expose deterministic strength settings and search limits for practice; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P0,Coach,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-040,Bots & Guided Coach,Coach setup,S04,How do I play against the Coach?,"Choose strength, side, coach persona and assistance preferences before play.",FR-040,"Given an eligible user and valid starting state, when the ""Coach setup"" workflow is exercised, ChessLab shall choose strength, side, coach persona and assistance preferences before play; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P0,Coach,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-041,Bots & Guided Coach,Move-by-move feedback,S04,How do I play against the Coach?,Explain move quality and strategic consequence after each move in guided games.,FR-041,"Given an eligible user and valid starting state, when the ""Move-by-move feedback"" workflow is exercised, ChessLab shall explain move quality and strategic consequence after each move in guided games; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P0,Coach,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-042,Bots & Guided Coach,Hints and progressive reveal,S04,How do I play against the Coach?,"Offer concept hint first, candidate region second, best move last.",FR-042,"Given an eligible user and valid starting state, when the ""Hints and progressive reveal"" workflow is exercised, ChessLab shall offer concept hint first, candidate region second, best move last; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P0,Coach,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-043,Bots & Guided Coach,Undo and retry,S04,How do I play against the Coach?,Allow learner-safe reversal without affecting competitive ratings.,FR-043,"Given an eligible user and valid starting state, when the ""Undo and retry"" workflow is exercised, ChessLab shall allow learner-safe reversal without affecting competitive ratings; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P0,Coach,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-044,Bots & Guided Coach,Threat and suggestion overlays,S04,How do I play against the Coach?,Render original visual arrows and highlights tied to verified board facts.,FR-044,"Given an eligible user and valid starting state, when the ""Threat and suggestion overlays"" workflow is exercised, ChessLab shall render original visual arrows and highlights tied to verified board facts; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-045,Bots & Guided Coach,Resume guided games,"S04,S35","How do I play against the Coach?,Does Chess.com have an app?",Persist coach and bot sessions across navigation and devices.,FR-045,"Given an eligible user and valid starting state, when the ""Resume guided games"" workflow is exercised, ChessLab shall persist coach and bot sessions across navigation and devices; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-041,SCR-042,SCR-043,SCR-044",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-046,Bots & Guided Coach,Custom-position practice,S13,What is Practice on Chess.com?,"Start bot or coach play from imported FEN, game node or constructed setup.",FR-046,"Given an eligible user and valid starting state, when the ""Custom-position practice"" workflow is exercised, ChessLab shall start bot or coach play from imported FEN, game node or constructed setup; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-041,SCR-042,SCR-043,SCR-044",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-047,Game Review & Analysis,Review generation,"S05,S07","How does Game Review work?,What is Cloud Analysis and how do I use it?","Create a post-game analysis job with stable version, engine limits and progress state.",FR-047,"Given an eligible user and valid starting state, when the ""Review generation"" workflow is exercised, ChessLab shall create a post-game analysis job with stable version, engine limits and progress state; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-048,Game Review & Analysis,Review highlights,S05,How does Game Review work?,"Summarize accuracy, opening, result, advantage graph and decisive moments.",FR-048,"Given an eligible user and valid starting state, when the ""Review highlights"" workflow is exercised, ChessLab shall summarize accuracy, opening, result, advantage graph and decisive moments; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-049,Game Review & Analysis,Move classification,"S05,S02","How does Game Review work?,What is the PubAPI and how do I use it?","Classify moves consistently, explain uncertainty and avoid proprietary glyph copying.",FR-049,"Given an eligible user and valid starting state, when the ""Move classification"" workflow is exercised, ChessLab shall classify moves consistently, explain uncertainty and avoid proprietary glyph copying; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-050,Game Review & Analysis,Key-moment navigation,S05,How does Game Review work?,"Jump among critical moments while keeping board, graph and explanation synchronized.",FR-050,"Given an eligible user and valid starting state, when the ""Key-moment navigation"" workflow is exercised, ChessLab shall jump among critical moments while keeping board, graph and explanation synchronized; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-051,Game Review & Analysis,Retry from mistake,S05,How does Game Review work?,Let the learner replay a critical position and compare the new result.,FR-051,"Given an eligible user and valid starting state, when the ""Retry from mistake"" workflow is exercised, ChessLab shall let the learner replay a critical position and compare the new result; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-052,Game Review & Analysis,Coach narration,S05,How does Game Review work?,"Provide concise written feedback, optional audio and selectable detail level.",FR-052,"Given an eligible user and valid starting state, when the ""Coach narration"" workflow is exercised, ChessLab shall provide concise written feedback, optional audio and selectable detail level; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-053,Game Review & Analysis,Self-analysis board,S06,How do I use Game Analysis?,"Explore legal continuations manually with engine toggle, lines and evaluation.",FR-053,"Given an eligible user and valid starting state, when the ""Self-analysis board"" workflow is exercised, ChessLab shall explore legal continuations manually with engine toggle, lines and evaluation; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
