id,title,publisher,date,url,scope
S12,How do Lessons work on Chess.com?,Chess.com Help Center,2026-07-13,https://support.chess.com/en/articles/8609703-how-do-lessons-work-on-chess-com,"Learning path, lesson library, interactive challenges and membership access"
S13,What is Practice on Chess.com?,Chess.com Help Center,2026-07-11,https://support.chess.com/en/articles/8724749-what-is-practice-on-chess-com,"Openings, master games, drills, custom positions and mobile differences"
S14,How do I practice Endgames?,Chess.com Help Center,2025-11-13,https://support.chess.com/en/articles/8708978-how-do-i-practice-endgames,"Endgame categories, challenge, practice, learn and leaderboards"
S15,How do live tournaments work?,Chess.com Help Center,2025-09-04,https://support.chess.com/en/articles/8608949-how-do-live-tournaments-work-where-can-i-join-one,"Live tournament discovery, Arena, Swiss, schedule and lobby states"
S16,How do Daily Tournaments work on Chess.com?,Chess.com Help Center,2026-08,https://support.chess.com/en/articles/8609725-how-do-daily-tournaments-work-on-chess-com,"Turn-based groups, rounds, joining and progression"
S17,What is Daily Chess?,Chess.com Help Center,2025-12-02,https://support.chess.com/en/articles/8588171-what-is-daily-chess,"Days-per-move play, concurrent games, ratings and assistance restrictions"
S18,How do I play chess variants?,Chess.com Help Center,2025-09-04,https://support.chess.com/en/articles/8583983-how-do-i-play-chess-variants,"Variants lobby, challenges, analysis, arenas, archive and web-only limits"
S19,How does matchmaking work in Live Chess?,Chess.com Help Center,2025-04-04,https://support.chess.com/en/articles/8639319-how-does-matchmaking-work-in-live-chess,"Rating windows, search expansion and pairing factors"
S20,How do I view my own games?,Chess.com Help Center,2026-08,https://support.chess.com/en/articles/8598090-how-do-i-view-my-own-games,"Game history, filters, bulk actions, archives and mobile differences"
S21,How do I get a PGN of my game?,Chess.com Help Center,2026-02-10,https://support.chess.com/en/articles/8705305-how-do-i-get-a-pgn-of-my-game,"Single and bulk export, timestamps, annotations and analysis"
S22,How can I change my homepage?,Chess.com Help Center,2025-02-18,https://support.chess.com/en/articles/8652316-how-can-i-change-my-homepage,Dashboard customization and module visibility
S23,How can I see my opening stats?,Chess.com Help Center,2026-01-08,https://support.chess.com/en/articles/8705347-how-can-i-see-my-opening-stats,"Opening performance, filters, continuations and mini-board"
S24,What is Insights on Chess.com?,Chess.com Help Center,2026-01-27,https://support.chess.com/en/articles/8708925-what-is-insights-on-chess-com,"Background analysis, filters, performance patterns and premium gating"
S25,How do I use Advanced Stats?,Chess.com Help Center,2026-08,https://support.chess.com/en/articles/15451190-how-do-i-use-advanced-stats,"Phase ratings, strengths, weaknesses and brilliant-move archive"
S26,What is ChessTV?,Chess.com Help Center,2024-12-23,https://support.chess.com/en/articles/8709044-what-is-chesstv,"Integrated viewing, streamers, events, playing now and schedules"
S27,How do Chess.com clubs work?,Chess.com Help Center,2025-06-25,https://support.chess.com/en/articles/8718710-how-do-chess-com-clubs-work,"Clubs, forums, matches, vote chess, roles and administration"
S28,How do I open a chat window with my friend?,Chess.com Help Center,2026-07-23,https://support.chess.com/en/articles/8614138-how-do-i-open-a-chat-window-with-my-friend,"Persistent chat windows, groups, blocking and navigation continuity"
S29,How do I manage my settings?,Chess.com Help Center,2025-12-24,https://support.chess.com/en/articles/8615285-how-do-i-manage-my-settings,"Board, gameplay, profile, membership, notifications and cross-surface settings"
S30,What counts as cheating on Chess.com?,Chess.com Help Center,2025-07-23,https://support.chess.com/en/articles/8583921-what-counts-as-cheating-on-chess-com,"Live, Daily, puzzle and bot assistance boundaries"
S31,What do I need to know about Fair Play?,Chess.com Help Center,2026-07-08,https://support.chess.com/en/articles/8568369-what-do-i-need-to-know-about-fair-play-on-chess-com,"Rules, common violations, reports and account actions"
S32,What is safe mode on Chess.com?,Chess.com Help Center,2025-10-01,https://support.chess.com/en/articles/8614033-what-is-safe-mode-on-chess-com,"Disabling messages, chats and comments"
S33,Improve Your Chess with a Premium Membership,Chess.com,2026,https://www.chess.com/membership,Premium value proposition and major entitlements
S34,Friends and Family Plan FAQ,Chess.com Help Center,2026-09,https://support.chess.com/en/articles/10067907-friends-family-plan-faq,"Six-person Diamond family plan, roles and entitlements"
S35,Does Chess.com have an app?,Chess.com Help Center,2026-07-07,https://support.chess.com/en/articles/9855741-does-chess-com-have-an-app,"iOS, Android and direct Android distribution"
S36,How do I play variants on the Chess.com app?,Chess.com Help Center,2026-04-17,https://support.chess.com/en/articles/9836648-how-do-i-play-variants-on-the-chess-com-app,Web/mobile capability mismatch for variants
S37,ChessLab Product Context,praxstack/ChessLab,2026-09-07,https://github.com/praxstack/ChessLab/blob/main/CONTEXT.md,"Branch-native tutor vision, current build direction, domain vocabulary and open decisions"
S38,ChessLab Application Verification,praxstack/ChessLab,2026-09-07,https://github.com/praxstack/ChessLab/blob/main/docs/application-verification.md,"Current implementation evidence, test results, corrected bugs and unverified gaps"
