id,type,domain,title,statement,priority,phase,acceptance,sources
FR-047,Functional,Game Review & Analysis,Review generation,"Create a post-game analysis job with stable version, engine limits and progress state.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Review generation"" workflow is exercised, ChessLab shall create a post-game analysis job with stable version, engine limits and progress state; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","S05,S07"
FR-048,Functional,Game Review & Analysis,Review highlights,"Summarize accuracy, opening, result, advantage graph and decisive moments.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Review highlights"" workflow is exercised, ChessLab shall summarize accuracy, opening, result, advantage graph and decisive moments; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S05
FR-049,Functional,Game Review & Analysis,Move classification,"Classify moves consistently, explain uncertainty and avoid proprietary glyph copying.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Move classification"" workflow is exercised, ChessLab shall classify moves consistently, explain uncertainty and avoid proprietary glyph copying; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","S05,S02"
FR-050,Functional,Game Review & Analysis,Key-moment navigation,"Jump among critical moments while keeping board, graph and explanation synchronized.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Key-moment navigation"" workflow is exercised, ChessLab shall jump among critical moments while keeping board, graph and explanation synchronized; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S05
FR-051,Functional,Game Review & Analysis,Retry from mistake,Let the learner replay a critical position and compare the new result.,P0,Analysis,"Given an eligible user and valid starting state, when the ""Retry from mistake"" workflow is exercised, ChessLab shall let the learner replay a critical position and compare the new result; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S05
FR-052,Functional,Game Review & Analysis,Coach narration,"Provide concise written feedback, optional audio and selectable detail level.",P1,Coach,"Given an eligible user and valid starting state, when the ""Coach narration"" workflow is exercised, ChessLab shall provide concise written feedback, optional audio and selectable detail level; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S05
FR-053,Functional,Game Review & Analysis,Self-analysis board,"Explore legal continuations manually with engine toggle, lines and evaluation.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Self-analysis board"" workflow is exercised, ChessLab shall explore legal continuations manually with engine toggle, lines and evaluation; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S06
FR-054,Functional,Game Review & Analysis,Multi-line engine analysis,"Show bounded principal variations, depth, engine identity and score perspective.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Multi-line engine analysis"" workflow is exercised, ChessLab shall show bounded principal variations, depth, engine identity and score perspective; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","S06,S07"
FR-055,Functional,Game Review & Analysis,Charts,"Plot score, time, best-move difference and learning themes against move index.",P1,Insights,"Given an eligible user and valid starting state, when the ""Charts"" workflow is exercised, ChessLab shall plot score, time, best-move difference and learning themes against move index; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S06
FR-056,Functional,Game Review & Analysis,Annotations,"Attach comments, arrows, square highlights, symbols and variation lines to nodes.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Annotations"" workflow is exercised, ChessLab shall attach comments, arrows, square highlights, symbols and variation lines to nodes; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","S06,S21"
FR-057,Functional,Game Review & Analysis,Cloud analysis tier,"Queue deeper server-side analysis with quotas, cancellation and cost controls.",P1,Scale,"Given an eligible user and valid starting state, when the ""Cloud analysis tier"" workflow is exercised, ChessLab shall queue deeper server-side analysis with quotas, cancellation and cost controls; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S07
FR-058,Functional,Game Review & Analysis,Import PGN and FEN,"Validate untrusted input, preserve the current study on failure and record provenance.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Import PGN and FEN"" workflow is exercised, ChessLab shall validate untrusted input, preserve the current study on failure and record provenance; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; malformed or oversized input is rejected without replacing the current game or study, and accepted input retains provenance.",S21
FR-059,Functional,Game Review & Analysis,Export annotated study,"Export PGN or native study with comments, branches, timestamps and engine metadata.",P0,Analysis,"Given an eligible user and valid starting state, when the ""Export annotated study"" workflow is exercised, ChessLab shall export PGN or native study with comments, branches, timestamps and engine metadata; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; private or revoked content is never exposed and the exported representation round-trips supported data.",S21
FR-060,Functional,Game Review & Analysis,Continue from position,Launch legal practice or bot play from any completed-game or study node.,P1,Coach,"Given an eligible user and valid starting state, when the ""Continue from position"" workflow is exercised, ChessLab shall launch legal practice or bot play from any completed-game or study node; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S06
FR-061,Functional,Branch-Native Conversational Tutor,History-bearing node model,"Store board state plus rule-relevant history, not FEN alone.",P0,Differentiator,"Given an eligible user and valid starting state, when the ""History-bearing node model"" workflow is exercised, ChessLab shall store board state plus rule-relevant history, not FEN alone; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S37
FR-062,Functional,Branch-Native Conversational Tutor,Nested branch tree,Create alternatives inside alternatives without altering the actual game line.,P0,Differentiator,"Given an eligible user and valid starting state, when the ""Nested branch tree"" workflow is exercised, ChessLab shall create alternatives inside alternatives without altering the actual game line; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-063,Functional,Branch-Native Conversational Tutor,Stable return anchors,Return from exploration to the exact original node and preserve every sibling branch.,P0,Differentiator,"Given an eligible user and valid starting state, when the ""Stable return anchors"" workflow is exercised, ChessLab shall return from exploration to the exact original node and preserve every sibling branch; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-064,Functional,Branch-Native Conversational Tutor,Node-attached questions,"Bind each learner question and answer to a position, branch and evidence version.",P0,Differentiator,"Given an eligible user and valid starting state, when the ""Node-attached questions"" workflow is exercised, ChessLab shall bind each learner question and answer to a position, branch and evidence version; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-065,Functional,Branch-Native Conversational Tutor,"Ask why, what-if and compare","Support causal questions, alternative replies and side-by-side branch comparison.",P0,Differentiator,"Given an eligible user and valid starting state, when the ""Ask why, what-if and compare"" workflow is exercised, ChessLab shall support causal questions, alternative replies and side-by-side branch comparison; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-066,Functional,Branch-Native Conversational Tutor,Evidence panel,"Separate legal facts, engine estimates, demonstrated lines and uncertain explanations.",P0,Differentiator,"Given an eligible user and valid starting state, when the ""Evidence panel"" workflow is exercised, ChessLab shall separate legal facts, engine estimates, demonstrated lines and uncertain explanations; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-067,Functional,Branch-Native Conversational Tutor,Board-text agreement,"Guarantee that arrows, highlighted pieces, material counts and prose reference one node.",P0,Differentiator,"Given an eligible user and valid starting state, when the ""Board-text agreement"" workflow is exercised, ChessLab shall guarantee that arrows, highlighted pieces, material counts and prose reference one node; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-068,Functional,Branch-Native Conversational Tutor,Misunderstanding model,"Capture the learner prediction, expose the failing assumption and schedule a related retry.",P1,Differentiator,"Given an eligible user and valid starting state, when the ""Misunderstanding model"" workflow is exercised, ChessLab shall capture the learner prediction, expose the failing assumption and schedule a related retry; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-069,Functional,Branch-Native Conversational Tutor,Teach-back check,Ask the learner to explain the idea before revealing a polished summary.,P1,Learning,"Given an eligible user and valid starting state, when the ""Teach-back check"" workflow is exercised, ChessLab shall ask the learner to explain the idea before revealing a polished summary; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-070,Functional,Branch-Native Conversational Tutor,Spaced branch retry,Revisit prior misunderstandings using transformed but related positions.,P2,Learning,"Given an eligible user and valid starting state, when the ""Spaced branch retry"" workflow is exercised, ChessLab shall revisit prior misunderstandings using transformed but related positions; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-071,Functional,Branch-Native Conversational Tutor,Share and fork study,Share a view-only or editable branch workspace with provenance and permissions.,P1,Collaboration,"Given an eligible user and valid starting state, when the ""Share and fork study"" workflow is exercised, ChessLab shall share a view-only or editable branch workspace with provenance and permissions; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; private or revoked content is never exposed and the exported representation round-trips supported data.","S08,S37"
FR-072,Functional,Branch-Native Conversational Tutor,Creator workspace,"Let coaches package branches, questions and retries into reusable studies.",P2,Collaboration,"Given an eligible user and valid starting state, when the ""Creator workspace"" workflow is exercised, ChessLab shall let coaches package branches, questions and retries into reusable studies; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S37
FR-073,Functional,Opening Explorer & Collections,Master opening database,"Show move frequency, outcomes, opening names and notable games by position.",P1,Analysis,"Given an eligible user and valid starting state, when the ""Master opening database"" workflow is exercised, ChessLab shall show move frequency, outcomes, opening names and notable games by position; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.",S09
FR-074,Functional,Opening Explorer & Collections,Personal opening explorer,"Filter the user game corpus by color, time class, date and continuation.",P1,Insights,"Given an eligible user and valid starting state, when the ""Personal opening explorer"" workflow is exercised, ChessLab shall filter the user game corpus by color, time class, date and continuation; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; empty, loading, no-result, permission-filtered and paginated states are covered.","S09,S23"
FR-075,Functional,Opening Explorer & Collections,Opponent research boundary,Allow completed public-game study while preventing live assistance.,P0,Trust,"Given an eligible user and valid starting state, when the ""Opponent research boundary"" workflow is exercised, ChessLab shall allow completed public-game study while preventing live assistance; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; empty, loading, no-result, permission-filtered and paginated states are covered.","S30,S31"
FR-076,Functional,Opening Explorer & Collections,Collection library,"Organize games and studies into private, public or shared collections.",P1,Collaboration,"Given an eligible user and valid starting state, when the ""Collection library"" workflow is exercised, ChessLab shall organize games and studies into private, public or shared collections; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S08
FR-077,Functional,Opening Explorer & Collections,Collection roles,"Support owner, editor and viewer permissions with audit history.",P1,Collaboration,"Given an eligible user and valid starting state, when the ""Collection roles"" workflow is exercised, ChessLab shall support owner, editor and viewer permissions with audit history; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S08
